Episode,Epsilon,AvgReward,Collisions,Penalties
383,0.147372633696832,-1003.93735043661,150,0
384,0.146635770528348,-1003.71727498666,150,0
385,0.145902591675706,-1003.81093246245,150,0
386,0.145173078717327,-1003.68013316206,150,0
387,0.144447213323741,-1003.92784591285,150,0
388,0.143724977257122,-1004.03691044941,150,0
389,0.143006352370837,-1004.01605736705,150,0
390,0.142291320608982,-1003.64761998174,150,0
391,0.141579864005937,-997.132185088539,149,0
392,0.140871964685908,-1003.98391497744,150,0
393,0.140167604862478,-997.072895785925,149,0
394,0.139466766838166,-1003.96126853142,150,0
395,0.138769433003975,-1003.92938593281,150,0
396,0.138075585838955,-1004.22573508522,150,0
397,0.13738520790976,-1003.55167220736,150,0
398,0.136698281870212,-1004.12616547335,150,0
399,0.13601479046086,-1003.92271035614,150,0
400,0.135334716508556,-1003.92770634297,150,0
401,0.134658042926013,-1003.93554601798,150,0
402,0.133984752711383,-1004.18640647859,150,0
403,0.133314828947826,-1003.67628315294,150,0
404,0.132648254803087,-1003.78988857785,150,0
405,0.131985013529072,-1004.01230466245,150,0
406,0.131325088461426,-997.058538611752,149,0
407,0.130668463019119,-1003.99684646677,150,0
408,0.130015120704024,-1003.59499571368,150,0
409,0.129365045100504,-1003.98627033715,150,0
410,0.128718219875001,-1003.80047366233,150,0
411,0.128074628775626,-1003.88254690185,150,0
412,0.127434255631748,-1003.69341365116,150,0
413,0.126797084353589,-997.379372612457,149,0
414,0.126163098931821,-1003.82782417399,150,0
415,0.125532283437162,-997.1426963429,149,0
416,0.124904622019976,-1003.80682124966,150,0
417,0.124280098909876,-1003.74828950413,150,0
418,0.123658698415327,-1003.84171394198,150,0
419,0.12304040492325,-1004.01176725225,150,0
420,0.122425202898634,-1004.18467190981,150,0
421,0.121813076884141,-1004.00740878059,150,0
422,0.12120401149972,-1003.6435404384,150,0
423,0.120597991442222,-1003.81304527953,150,0
424,0.119995001485011,-1003.87060519926,150,0
425,0.119395026477586,-997.449854972143,149,0
426,0.118798051345198,-1003.8164902043,150,0
427,0.118204061088472,-1003.81495582625,150,0
428,0.117613040783029,-1003.94250455348,150,0
429,0.117024975579114,-1003.76388852891,150,0
430,0.116439850701219,-1003.81642169349,150,0
431,0.115857651447712,-1003.57879113733,150,0
432,0.115278363190474,-1003.69244764168,150,0
433,0.114701971374522,-1003.66648004762,150,0
434,0.114128461517649,-1004.05144833198,150,0
435,0.113557819210061,-1004.15562422124,150,0
436,0.11299003011401,-1003.79434161899,150,0
437,0.11242507996344,-1003.7651714214,150,0
438,0.111862954563623,-1003.91962748319,150,0
439,0.111303639790805,-1003.98004151593,150,0
440,0.110747121591851,-1003.84979296947,150,0
441,0.110193385983892,-1003.93745347137,150,0
442,0.109642419053972,-1004.0676759971,150,0
443,0.109094206958702,-1004.02495818796,150,0
444,0.108548735923909,-1003.59473141191,150,0
445,0.108005992244289,-1003.84214365859,150,0
